changeID,project,insertions,deletions,accountID,verified
1,456107,openstack/cinder,69,2,15054
0,347867,openstack/neutron,229,140,22218
1,427426,openstack/ironic-tempest-plugin,18,2,22860
0,337189,openstack-dev/ci-sandbox,1,0,21976
1,451175,openstack/tripleo-heat-templates,88,0,21747
1,457903,openstack/manila,5,1,15100
0,337524,openstack-dev/ci-sandbox,1,0,21976
1,434315,openstack/trove,292,271,18602
1,150719,openstack-infra/jenkins-job-builder,8,0,9943
1,432529,openstack-dev/sandbox,0,0,25150
0,455797,openstack/murano,138,20,23186
1,328951,openstack/fuel-agent,12,1,14525
1,455503,openstack/senlin,16,3,25661
1,451319,openstack/fuel-web,22,1,10443
1,459075,openstack/openstack-helm,16,0,17591
1,453019,openstack/neutron-vpnaas,2,1,6854
0,350873,openstack-dev/sandbox,1,0,15513
0,338567,openstack-dev/ci-sandbox,1,1,21990
1,437215,openstack/monasca-analytics,35,6,24289
0,444524,openstack/nova,3,3,1063
1,320379,openstack/python-glanceclient,57,38,20182
0,336984,openstack-dev/ci-sandbox,1,0,22495
0,368396,openstack-dev/sandbox,0,0,22559
0,335937,openstack-dev/ci-sandbox,1,0,21976
1,357349,openstack/murano,560,15,20773
0,422478,openstack/neutron,111,52,20533
1,349176,openstack/tap-as-a-service,90,15,21950
0,247222,openstack/rally,62,0,7369
1,458968,openstack/octavia,14,5,10850
0,392212,openstack/charm-neutron-openvswitch,30,1,23969
1,436429,openstack/rally,170,63,18404
0,355775,openstack/vmware-nsx,993,3,6981
1,446246,openstack/nova,32,2,4393
0,341241,openstack-dev/sandbox,1,0,7882
1,449659,openstack/watcher,296,97,19055
0,409390,openstack-dev/ci-sandbox,0,0,22656
0,254708,openstack/cinder,561,61,13915
1,285893,openstack-dev/devstack,12,0,8328
0,346462,openstack-dev/ci-sandbox,1,0,22495
1,390985,openstack/charm-ceph-osd,49,2,23969
0,316582,openstack-dev/ci-sandbox,1,0,21817
0,346628,openstack/python-muranoclient,102,9,20773
1,457510,openstack/requests-mock,8,0,15808
1,314718,openstack/openstack-specs,311,0,6802
0,343287,openstack-dev/ci-sandbox,1,0,22495
0,302762,openstack/rally,581,98,20645
1,431348,openstack/kolla-ansible,1,1,25116
1,373728,openstack/security-analysis,0,1,22020
1,440002,openstack/mogan,1,0,12898
0,335009,openstack-dev/ci-sandbox,1,0,21976
1,384115,openstack-infra/zuul,2,4,18700
0,382563,openstack/charm-neutron-api,140,17,13734
1,450167,openstack/fuel-library,39,28,16771
0,442700,openstack/charm-ceph-radosgw,532,82,20805
0,337167,openstack-dev/ci-sandbox,1,0,21976
1,434636,openstack/kolla-ansible,28,3,7488
1,450115,openstack/karbor,834,0,21648
1,400222,openstack/karbor,14,3,21648
0,436611,openstack/rpm-packaging,601,0,6593
0,445446,openstack/fuel-ostf,11,2084,15921
0,314070,openstack/rally,2033,0,20535
1,384655,openstack/glance,2,1,2218
0,334751,openstack-dev/ci-sandbox,1,0,21976
0,315954,openstack-dev/ci-sandbox,2,0,21817
1,454824,openstack/oslo.messaging,4,3,8770
0,384361,openstack/fuel-library,43,0,16261
0,378680,openstack/murano-agent,79,44,14107
1,445310,openstack/sqlalchemy-migrate,8,15,25080
0,334756,openstack-dev/ci-sandbox,1,0,21976
1,405099,openstack/tuning-box,1,1,15905
0,343559,openstack-dev/ci-sandbox,1,0,22495
1,396383,openstack/tripleo-specs,115,0,20970
0,416487,openstack/nova,204,3,22931
1,370630,openstack/tempest,10,6,12393
0,422088,openstack/neutron,14,4,24919
1,221172,openstack-infra/git-review,9,9,15378
1,433011,openstack/fuel-qa,516,94,9588
1,451228,openstack/python-tripleoclient,63,11,9712
0,412441,openstack-dev/ci-sandbox,0,0,23729
1,446242,openstack/nova,2,11,4393
0,366839,openstack/fuel-plugin-contrail,4,16,20804
0,447913,openstack/fuel-ostf,1,1,15984
0,338460,openstack-dev/ci-sandbox,1,0,22495
